speaker,house,state,club
Mr. BALDERSON,EoR,OH,R
Mr. BANKS,EoR,IN,R
Mr. BARR,EoR,KY,R
Mr. BLUMENAUER,EoR,OR,D
Mr. BRADY,EoR,TX,R
Mr. BUCK,EoR,CO,D
Mr. BURGESS,EoR,TX,R
Mr. BUTTERFIELD,EoR,NC,D
Mr. CALVERT,EoR,CA,R
Mr. CARSON,EoR,IN,D
Mr. CARTER(GE),EoR,GE,R
Mr. CARTER(TX),EoR,TX,R
Mr. CARTWRIGHT,EoR,PA,D
Mr. CLEAVER,EoR,MO,D
Mr. CLYBURN,EoR,SC,D
Mr. COHEN,EoR,TN,D
Mr. COLLINS(GE),EoR,GE,R
Mr. COLLINS(NY),EoR,NY,R
Mr. COOK,EoR,CA,R
Mr. COOPER,EoR,TN,D
Mr. CORREA,EoR,CA,D
Mr. CUMMINGS,EoR,MD,D
Mr. GAETZ,EoR,FL,R
Mr. GARAMENDI,EoR,CA,D
Mr. GIANFORTE,EoR,MT,R
Mr. GRIJALVA,EoR,AZ,D
Mr. HASTINGS,EoR,FL,D
Mr. HUDSON,EoR,NC,R
Mr. HUFFMAN,EoR,CA,D
Mr. HUNTER,EoR,CA,R
Mr. KATKO,EoR,NY,R
Mr. KEATING,EoR,MA,D
Mr. HERN,EoR,OK,R
Mr. KIM,EoR,NJ,D
Mr. KRISHNAMOORTHI,EoR,IL,D
Mr. LaHOOD,EoR,IL,R
Mr. LIPINSKI,EoR,IL,D
Mr. LONG,EoR,MO,R
Mr. McGOVERN,EoR,MA,D
Mr. MEUSER,EoR,PA,R
Mr. NORCROSS,EoR,NJ,D
Mr. PAPPAS,EoR,NH,D
Mr. PASCRELL,EoR,NJ,D
Mr. PERLMUTTER,EoR,CO,D
Mr. PERRY,EoR,PA,R
Mr. POSEY,EoR,FL,R
Mr. QUIGLEY,EoR,IL,D
Mr. REED,EoR,NY,R
Mr. RICHMOND,EoR,LA,D
Mr. ROGERS(AL),EoR,AL,R
Mr. ROGERS(KY),EoR,KY,R
Mr. RYAN,EoR,OH,D
Mr. SAN NICOLAS,EoR,GU,D
Mr. SCHIFF,EoR,CA,D
Mr. SCHNEIDER,EoR,IL,D
Mr. SERRANO,EoR,NY,D
Mr. SHIMKUS,EoR,IL,R
Mr. SIMPSON,EoR,ID,R
Mr. SMITH(MO),EoR,MO,R
Mr. SMITH(NE),EoR,NE,R
Mr. SMITH(NJ),EoR,NJ,R
Mr. SMITH(WA),EoR,WA,D
Mr. STAUBER,EoR,MN,R
Mr. STIVERS,EoR,OH,R
Mr. SUOZZI,EoR,NY,D
Mr. LIEU,EoR,CA,D
